Avibase.ID,Species1_BirdLife,Species2_eBird,eBird.species.group,Species3_BirdTree,Data.type,Source,Specimen.number,Sex,Age,Locality,Country_WRI,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-wing.Index,Tail.Length,Measurer,Protocol,Publication
AVIBASE-C9C868E0,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,2,Field1,NA,U,0,,Peru,,16.6,9.4,4.3,5.5,26.1,68,NA,NA,NA,74,BD,1,NA
AVIBASE-C9C868E0,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,2,Field1,NA,U,0,,Peru,,14.4,8.6,4.8,6,27.9,72,10,62,13.9,78.5,ML,1,NA
AVIBASE-C9C868E0,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,2,Field1,NA,M,0,,Peru,,15,9.2,5.5,5.7,27.1,80,13,67,16.3,83,ML,1,NA
AVIBASE-C9C868E0,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,2,Field1,NA,F,0,,Peru,,16.6,9.4,5.4,6.1,27.6,70,8,62,11.4,77,ML,1,NA
AVIBASE-C9C868E0,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,2,Field1,NA,U,0,,Peru,,16.3,9.6,6.2,5.3,NA,68,5,63,7.4,79,BD,1,NA
AVIBASE-C9C868E0,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,2,Field1,NA,U,0,,Peru,,15.8,8.5,4.8,5.6,NA,75,6,69,8,84,BD,1,NA
AVIBASE-C9C868E0,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,2,Field1,NA,U,0,,Peru,,16.4,9,4.9,5.5,NA,72,6,66,8.3,78,BD,1,NA
AVIBASE-C9C868E0,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,2,Field1,NA,U,0,,Peru,,16.4,8.5,4.8,5.6,NA,70,8,62,11.4,76,BD,1,NA
AVIBASE-C9C868E0,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,2,Field1,NA,U,0,,Peru,,16.2,8.6,4.8,5.6,NA,67,6,61,9,74,BD,1,NA
AVIBASE-C9C868E0,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,Atlapetes rufinucha,2,Field1,NA,U,0,,Peru,,15.7,9,4.8,5.6,27.2,71,8,63,11.3,78,CT,1,NA
